,text,scrape
19,भारतीय निर्यात संगठन संघ की वेबसाइट देखें,1
117,Website of North Central Zonal Cultural Centre,1
554,August 2019,0
641,apprenticeship,0
234,Website of Kerala State Information Technology Mission,1
101,Insurance Regulatory and Development Authority - External website that opens in a new window,1
22,cabinet office,1
216,मानकीकरण परीक्षण और गुणवत्ता प्रमाणन निदेशालय की वेबसाइट,1
725,British Cartoon Archive,0
212,Website of Ministry of Education,1
290,केरल राज्य भण्डारण निगम की आधिकारिक वेबसाइट,1
67,Comprehensive Web Presence - Ministry / Department,1
380,Judges of Supreme Court,1
23,British military gallantry medals,1
351,officers (royal navy),1
371,intelligence and security services,1
414,Prisoner 4099: a Victorian child criminal,0
405,Royal Navy operations and correspondence 1660-1914,0
139,Home Guard personnel,1
702,मणिपुर सूचना प्रौद्योगिकी संस्थान के बारे में जानकारी प्राप्त करें,0
192,खनिज एवं धातु व्यापार निगम लिमिटेड,1
333,Ministry of Finance - External website that opens in a new window,1
731,Project resources,0
29,इलेक्ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय के संगठन,1
660,america (emigration to),0
372,Departments,1
540,राष्‍ट्रीय सूचना विज्ञान केन्‍द्र (एनआईसी),0
339,royal air force,1
436,राष्ट्रीय बीज अनुसंधान और वाराणसी का प्रशिक्षण केंद्र,0
318,Chemicals and Petrochemicals,1
671,Archives sector case studies,0
408,Prime Minister’s papers from 1996 released,0
672,National Policy on Software Products - 2019,0
773,Application for permit to import live-stock products for trading and marketing,0
239,Women’s Royal Air Force personnel,1
410,Birth Certificate,0
467,Teachers and pupils,0
697,Data Protection Act 1988,0
460,Services for foreign nationals,0
633,second world war personnel,0
480,"View our fascinating and colourful collections of illustrations, propaganda, cartoons, films and art created during the Second World War.",0
15,International Olympic Committee,1
527,www.wellcome.ac.uk,0
35,attorneys,1
569,email,0
575,October 2018,0
456,May 2019,0
148,Wireless Planning & Coordination Wing (WPC),1
566,इतिहास,0
379,Royal Flying Corps airmen,1
673,Crew lists and agreements and log books of merchant ships after 1861,0
742,यात्रा के साधन,0
711,Calculate your income tax,0
193,Planning Commission,1
557,"Council for Rehabilitation of Widows, Orphans, Handicapped and Old Persons, J&K",0
377,Ministry of Development of North Eastern Region,1
96,Website of Controller of Certifying Authorities,1
8,Find something using the A-Z index,1
705,How to use the web archive,0
308,Website of Animal Husbandry and Veterinary Department of Meghalaya,1
505,District-wise Outstanding Credit of Scheduled Commercial Bank for various Occupation Classification in Punjab,0
119,"अनुदान की मांग, जल संसाधन, नदी विकास और गंगा संरक्षण मंत्रालय",1
615,Black presence: Asian and Black history in Britain from 1500 to 1850,0
481,The agreement between The National Archives and Ancestry.com FOI request reference: F0050106,0
285,Union/State Government,1
536,Go back to the page you were looking at,0
547,"VideoWhat’s Online: Stinking fish, beer and brewing controversies around 1800Monday 24 August 2020In 1809 a London brewery was prosecuted for the unusual offence of trying to...",0
232,भोपाल के राष्ट्रीय विधिक संस्थान विश्विद्यालय की वेबसाइट देखें,1
720,Annual report,0
58,People in business and trades,1
688,Cabinet Mandate,0
600,Raksha Bandhan,0
741,datasets,0
352,"Nutrition Resource Platform, Ministry of Women and Child Development",1
559,District-wise Teachers in Institutions of Punjab,0
263,Website of Central Institute of Plastics Engineering and Technology,1
116,पश्चिम बंगाल राज्य विपणन बोर्ड की वेबसाइट,1
383,railways,1
93,"अनुदान की मांग, दूरसंचार विभाग",1
646,"Births, marriages and deaths at sea or abroad",0
75,Prime Minister,1
607,Delhi Metro Rail Corporation App,0
91,Insurance Regulatory and Development Authority,1
404,Publishing of “Retained EU Law” and copyright regulations used by legislation.gov.uk and published on eur-lex.europa.eu FOI request reference: F0050923,0
496,Search our catalogue,0
627,Form for transfer of dispensary/address change by CGHS card holders of ICAR,0
603,पेंशन,0
321,State Governments,1
619,Jobs and Education,0
576,Specialist digitisation,0
368,Our governance,1
42,Website of National Disaster Management Authority,1
675,DEFE 24/2623/1,0
37,State Legislature,1
188,Uttar Pradesh Police,1
307,राष्ट्रीय वर्षा सिंचित क्षेत्र प्राधिकरण की वेबसाइट,1
727,"Nelson, Trafalgar, and those who served",0
257,"Solar Energy Corporation of India, New Delhi",1
81,चंडीगढ़ के कृषि विभाग पर सूचना,1
179,State Attorneys General,1
275,Royal Naval Reserve personnel,1
499,Code of conduct,0
426,Formative naval experiences,0
242,Royal Naval Division personnel,1
623,Schools,0
677,Public Information Films,0
47,Military and Veterans,1
572,Also in Step 2: Selecting your records,0
107,भारतीय परियोजना निर्यात संवर्धन परिषद की वेबसाइट देखें,1
501,Contact details of Directorate of Handicrafts and Handloom of Sikkim,0
487,Follow us on Instagram,0
747,4. Does The National Archives have newspapers?,0
284,National Safai Karamcharis Finance & Development corporation,1
584,सांस्कृतिक संसाधन एवं प्रशिक्षण केंद्र द्वारा भारत में कठपुतली के प्रकारों के संबंध में दी गई जानकारी प्राप्त करें,0
106,"Renewable Training, Ministry of New and Renewable Energy",1
470,Tracing Your Caribbean Ancestors,0
310,trade and industry,1
4,UAE,1
548,Cataloguing projects 2016-17,0
98,राष्ट्रपति की अध्यक्षता में बापू की 150 वीं जयंती के लिए गठित आयोजन समिति की अहम बैठक,1
218,Website of the Ministry of Mines,1
658,following our rules,0
304,Board of Directors,1
585,+A,0
313,Members of Parliament,1
473,"Learn about the Second World War using our animated maps and investigations containing original documents, film, photographs and audio.",0
694,Personal Law,0
269,"अनुदान की मांग, कारपोरेट कार्य मंत्रालय",1
25,Royal Naval seamen,1
494,Personal information charter,0
180,Western Australia,1
553,Guy Burgess records FOI request reference: F0040970,0
279,Website of Ministry of Skill Development and Entrepreneurship,1
393,Website of Nehru Memorial Museum & Library,0
686,british empire,0
628,Information on Kalidas Academy in Ujjain district of Madhya Pradesh,0
28,Home,1
756,राष्ट्रीय फसल पूर्वानुमान केन्द्र से मौसम घड़ी,0
737,Labs,0
748,पर्यावरण और वन मंत्रालय द्वारा पर्यावरण सूचना प्रणाली,0
94,The Prime Minister,1
115,Website of Department of Revenue,1
398,District Administration,0
750,Pradhan Mantri Jan Dhan Yojana Scheme Details,0
616,May 2015,0
483,"Website of Archaeological Survey of India (ASI), Chennai",0
63,Permanent Committees,1
391,FOI disclosure log,0
3,crown servants,1
160,Rural Indian,1
406,Genealogy and Family History,0
78,IRDA - External website that opens in a new window,1
382,regiments and corps,1
336,Army regiments,1
140,Members of the Advisory Council FOI request reference: F0047439,1
764,District Sector Scheme by UP Forest,0
654,online contact form,0
503,taxes and duties,0
530,Women’s Royal Air Force service records 1918-1920,0
174,दिल्ली के राष्ट्रीय रक्षा महाविद्यालय की वेबसाइट देखें,1
568,"Spending, Saving and Investing",0
102,विदेश व्यापार महानिदेशालय की वेबसाइट,1
757,वन्यजीव (संरक्षण) अधिनियम 1972,0
657,"Copyright, Designs and Patents Act 1988",0
449,Defence procurement procedure & manual,0
202,"Presidents, Vice Presidents, and First Ladies",1
82,भारतीय पुरातत्व सर्वेक्षण की आधिकारिक वेबसाइट देखें,1
523,Royal Marines’ service records 1842-1925,0
217,royal servants,1
182,नौसेना,1
141,officers (air forces),1
2,Punjab Legal Services Authority,1
376,"Legislative Council, Jammu and Kashmir",1
17,My Government,1
136,Chief Ministers,1
32,Fleet Air Arm personnel,1
421,Latest news,0
170,Citizen's Charter of Ministry of Education,1
754,indentured labour,0
644,View Profile,0
291,territorial army,1
226,Spokespeople,1
262,Conservation of Energy,1
608,Website of Startup India,0
243,इलेक्‍ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय,1
143,तटीय जल संवर्धन प्राधिकरण की आधिकारिक वेबसाइट,1
338,"Department for the Environment, Food and Rural Affairs",1
678,Borrowing accessioned records,0
103,गोवा के कृषि निदेशालय की वेबसाइट,1
349,How government works,1
670,1960s,0
306,Customs officers,1
144,"Website of Information Technology Department, Manipur",1
427,e-Counselling Sevices,0
765,early modern period,0
423,casualties of war,0
778,Middlesex military service appeal tribunal 1916-1918,0
1,British Army officers in service after 1918,1
79,Information on Department of School Education and Literacy,1
208,Royal Navy warrant officers,1
112,Digital Diplomacy - Ministry of External Affairs,1
244,Website of Ministry of Culture,1
450,Procedure to subscribe,0
271,Officers in the Merchant Navy,1
743,TV and postal services,0
254,Website of Maharashtra Tourism Development Corporation,1
80,Air Force records,1
50,Judiciary,1
596,District wise Annual Average Rainfall in Punjab,0
556,departments,0
461,Political and economic history,0
529,About Us and Site Notices,0
162,E-book of Ministry of Water Resources River Development and Ganga Rejuvenation,1
276,home guard,1
564,1841-1911 Census Contracts FOI request reference: F0057995,0
211,special operations executive,1
735,Australian War Memorial,0
203,The Cabinet,1
274,supreme court,1
240,Lawyers and Legal Advice,1
13,कौशल विकास एवं उद्यमिता मंत्रालय की वेबसाइट,1
424,Attempted cyber attacks FOI request reference: F0052588,0
171,Women in the British Army,1
135,Royal Air Force squadrons,1
409,early-20th-century,0
665,Case studies and research reports,0
561,Organisations,0
43,Indian Government Websites (GIGW),1
314,President of India,1
601,Information for our suppliers,0
194,Sikkim Judicial Academy,1
476,ICT expenditure FOI request reference: F0053572,0
492,Environment & Forest,0
522,Supreme Court Mobile Apps,0
516,ग्रामीण विकास मंत्रालय की योजनाएं और कार्यक्रम,0
385,Contact offices of ministers and group heads in Ministry of Electronics and Information Technology,1
359,संस्कृति के क्षेत्र में उत्कृष्ट व्यक्तियों को शिक्षावृत्ति के पुरस्कार के लिए योजना,1
354,Ministerial departments,1
277,Royal Naval Air Service officers,1
679,T,0
206,Ministry of Defence Information on recruitment and training,1
252,राष्ट्रीय स्मारक प्राधिकरण की वेबसाइट,1
268,Panchayati Raj,1
780,Copies of documents,0
520,Mobile and fixed line telephony contracts at The National Archives FOI request reference: F0053711,0
156,Directorate of Archaeology and Museums of Haryana,1
337,Coastguard officers,1
21,Ministry of Defence,1
97,Law & Justice,1
413,CCTV maintenance and support contract FOI request reference: F0056266,0
772,समुदाय,0
388,Prime Minister's Office,1
236,Defence,1
412,major,0
26,दूरस्थ शिक्षा ब्यूरो विश्वविद्यालय अनुदान आयोग का एक ब्यूरो,1
347,Website of Ministry of Electronics & Information Technology,1
113,"Locate Military Members, Units, and Facilities",1
455,"OSP36: Publications/grey literature (PDF, 0.17MB)",0
392,मत्स्य विभाग की वार्षिक रिपोर्ट 2017-18,0
630,Britain 1906-18,0
477,Ordnance Survey maps,0
493,Foreign Nationals Driving in the U.S.,0
636,वयस्क,0
538,5,0
330,Location of employees FOI request reference: F0053007,1
509,1951 - 1964,0
500,Ordnance Survey,0
326,Businesspersons,1
71,रक्षा मंत्रालय की वेबसाइट देखें,1
610,Trade,0
270,Lok Sabha,1
707,conveyance of land,0
69,Website of Department of Defence Production,1
447,February 2019,0
52,militia,1
159,Women’s Royal Naval Service personnel,1
191,metropolitan police,1
36,शिक्षा मंत्रालय की वेबसाइट देखें,1
562,Bomb Sight,0
300,Royal Navy nurses and medical officers,1
484,Scheduled Tribes/Schedule Caste,0
340,Other agencies and public bodies,1
474,Royal Naval Reserve service records 1860-1955,0
717,Information for students by Directorate of Technical Education in Tamil Nadu,0
341,Royal Navy commissioned officers,1
311,High Court of Admiralty,1
108,Search contact details of Department of Commerce,1
183,women's land army,1
190,Law Commission of India,1
597,England and Wales,0
154,Royal Naval dockyard staff,1
482,September 2016,0
682,Royal Warrant Holders Correspondence FOI request reference: F0043606,0
771,Missing record – FO 371/68368 FOI request reference: F0058664,0
89,State Health Departments,1
324,Royal Naval Volunteer Reserve personnel,1
759,UK Government Licensing Framework section,0
519,Webcast,0
302,Website of National Defence College Delhi,1
99,"National Institute of Electronics and Information Technology, Delhi",1
429,Earnings and expenditure FOI request reference: F0044478,0
278,NIC Coordinator of the National Portal,1
755,New to using archives?,0
46,"Gujarat Bhawan and Office of the Resident Commissioner, New Delhi",1
590,Support for communities,0
299,विभाग पशुपालन डेयरी और मत्स्य पालन की आधिकारिक वेबसाइट,1
5,Staff research profiles,1
24,Responsible Officers at The National Archives FOI request reference: F0044103,1
131,Military Records and Identification,1
266,वायुसेना,1
730,Access to the AB series of records FOI request reference: F0054877,0
104,wards and liveries (court of),1
659,Imperial War Museum and Historic Environment Scotland delegation of authority FOI request reference: F0048387,0
515,Know your NPS Transaction Statement - External website that opens in a new window,0
316,victorians,1
358,Government leaders,1
613,Public Distribution,0
656,GOV.UK Design System,0
6,भारतीय वन सेवा की आधिकारिक वेबसाइट,1
639,Record transfer report Spring 2016,0
632,Contacts for emergency support,0
27,Who's who,1
325,Kerala Chief Minister's Office,1
10,"State, County, and Municipal Courts",1
609,Publication scheme,0
451,पीपुल्स स्पीक,0
761,Gram Santhosh Rural Postal Life Insurance Scheme by India Post,0
721,Server Hardware Maintenance Contract FOI request reference: F0043213,0
14,Website of Minority Affairs and Madrasah Education Department of West Bengal,1
664,Revenue received from film and television productions FOI request reference: F0044888,0
40,Ministry of Cabinet Affairs,1
207,A-Z index,1
490,Getting or Renewing a U.S. Passport,0
195,aviation,1
758,Name changes,0
722,Filming,0
428,Isolating at home after testing positive for COVID-19,0
714,Consumer Complaints by Product Type,0
431,Our Friends,0
288,Cabinet Members,1
539,Aadhaar Number Validation App,0
751,Procedure to Subscribe,0
322,Indian Parliament,1
738,Science & Technology,0
346,prime minister,1
586,Website of Department of Ex-servicemen Welfare,0
227,"अनुदान की मांग, डाक विभाग",1
640,पशु पालन,0
95,Pension Fund Managers (PFMs) - External website that opens in a new window,1
521,virtual classroom,0
524,Admiralty charts (maps),0
54,केरल के आबकारी विभाग की वेवसाइट,1
498,Interpreter/translator spending FOI request reference: F0041140,0
342,Non-executive directors,1
403,Reclosure Panel Figures 2017 & 2018 FOI request reference: F0055625,0
604,Website of Self4Society,0
612,What is COVID-19,0
85,warrant officers,1
320,Ministry of Health and Family Welfare,1
760,Website of Sangeet Natak Akademi,0
129,Air Force,1
651,Travel and Immigration,0
425,naturalisation,0
401,Archives for Everyone 2019,0
528,Freedom of Information Act,0
552,Policies and budgets relating to “global influence” FOI request reference: F0047011,0
507,With Love,0
701,LiveChat,0
745,December 2015,0
205,coastguard,1
365,Directorate General of Commercial Intelligence and Statistics,1
127,Website of National Informatics Centre,1
526,Medicare,0
625,Legacies of British slave-ownership,0
362,Chiefs of Armed Forces,1
551,PRONOM technical registry,0
332,Local Governments,1
87,Innovation in Science Pursuit for Inspired Research (INSPIRE),1
378,GOV.UK,1
209,जल संसाधन मंत्रालय की वेबसाइट,1
511,Information relating to SIROs (Senior Information Risk Officers) FOI request reference: F0042661,0
396,Wills,0
329,Vice-President,1
222,"Department of Revenue, Ministry of Finance",1
728,Record transfer report Autumn 2016,0
546,Services,0
146,Companies and Employees,1
437,manorial documents register,0
579,सागर और महासागर विकास विभाग द्वारा पर्यवेक्षण तथा सूचना सेवाएं,0
432,Facilities management contracts FOI request reference: F0048306,0
430,"What was life really like in Victorian Britain? Find out through the podcasts, video conferences, workshops and lessons contained within this resource.",0
453,Digital Marketplace,0
466,लॉटरी पर 28 फ़ीसदी जीएसटी लगाने का जीएसटी काउंसिल की बैठक में फ़ैसला,0
59,राष्ट्रीय आधुनिक कला संग्रहालय की आधिकारिक वेबसाइट,1
472,Using Open Document Formats (ODF) in your organisation,0
683,केन्‍द्रीय प्रदूषण नियंत्रण बोर्ड की आधिकारिक वेबसाइट,0
